418.892,1151.06,1966.93,2266.42,2658.91,3103.34
560.574,1731.43,3177.03,3851.94,4526.74,5394.55
971.758,2636.9,4435.9,5223.36,6023.81,6895.31
761.255,2208.08,3838.43,4689.91,5354.43,6268.92
763.636,2210.24,3849.29,4696.11,5349.98,6273
428.553,1181.47,2018.25,2325.61,2736.58,3200.74
447.816,1236.03,2106.63,2422.9,2853.67,3327.78
573.458,1820.98,3417.45,4073.26,4842.64,5710.31
7.04081,18.6778,40.2301,60.4553,88.5912,143.234
0.253474,0.544204,0.654595,0.786412,0.927084,1.00862
0.0920134,0.238656,0.320665,0.449892,0.6138,0.869735
0.236928,0.507777,0.682544,0.876859,1.10437,1.3364
0.230249,0.496777,0.667063,0.854172,1.07852,1.30719
11.5328,31.2622,66.4645,103.545,146.417,238.872
17.9869,31.6467,55.8458,76.9703,104.744,158.798
0.222107,0.404533,0.44654,0.520638,0.579626,0.60342
